Simulation started at: 2015-02-07 16:27:08
Input file: sampleData.txt
Policy: Random Policy
Lines Evaluations Clicks CTR 
2065000 41270 2029 0.0491640416768
2070000 41361 2031 0.0491042286212
2075000 41453 2038 0.0491641135744
2080000 41547 2043 0.0491732255036
2085000 41640 2047 0.0491594620557
2090000 41752 2055 0.0492191990803
2095000 41861 2062 0.0492582594778
2100000 41967 2066 0.0492291562418
2105000 42070 2070 0.0492037081055
2110000 42169 2078 0.0492779055704
2115000 42266 2081 0.0492357923627
2120000 42380 2089 0.049292118924
2125000 42482 2096 0.0493385433831
2130000 42583 2101 0.0493389380739
2135000 42688 2108 0.0493815592204
2140000 42776 2110 0.0493267252665
2145000 42867 2116 0.0493619800779
2150000 42965 2120 0.0493424880717
2155000 43064 2129 0.0494380456994
2160000 43176 2137 0.0494950898647
2165000 43271 2143 0.0495250860854
2170000 43362 2150 0.0495825838292
2175000 43464 2156 0.0496042702006
2180000 43560 2164 0.0496786042241
2185000 43656 2174 0.0497984240425
2190000 43753 2181 0.0498480104221
2195000 43870 2182 0.0497378618646
2200000 43964 2186 0.0497225002275
2205000 44051 2192 0.0497605048694
2210000 44140 2195 0.0497281377435
2215000 44254 2203 0.0497808107742
2220000 44364 2207 0.0497475430529
2225000 44469 2210 0.049697542108
2230000 44575 2215 0.0496915311273
2235000 44679 2220 0.0496877727792
2240000 44778 2225 0.0496895797043
2245000 44863 2232 0.049751465573
2250000 44948 2235 0.0497241256563
2255000 45049 2240 0.0497236342649
2260000 45154 2246 0.0497408867431
2265000 45258 2251 0.0497370630607
2270000 45352 2258 0.0497883224555
2275000 45428 2259 0.0497270405917
2280000 45520 2264 0.0497363796134
2285000 45617 2272 0.0498059933797
2290000 45725 2276 0.049775833789
2295000 45821 2281 0.0497806682525
2300000 45910 2288 0.0498366368983
2305000 45999 2290 0.0497836909498
2310000 46110 2301 0.0499024072869
2315000 46229 2307 0.0499037400766
2320000 46326 2316 0.0499935241549
2325000 46415 2317 0.0499192071529
2330000 46515 2325 0.049983876169
2335000 46601 2329 0.0499774682947
2340000 46688 2333 0.049970013708
2345000 46784 2338 0.0499743502052
2350000 46900 2344 0.0499786780384
2355000 46985 2348 0.0499733957646
2360000 47084 2352 0.0499532749979
2365000 47183 2356 0.0499332386665
2370000 47295 2360 0.0498995665504
2375000 47393 2365 0.0499018842445
2380000 47494 2367 0.0498378742578
2385000 47600 2371 0.0498109243697
2390000 47705 2373 0.0497432134996
2395000 47815 2376 0.0496915193977
2400000 47914 2378 0.0496305881371
2405000 48022 2385 0.0496647369955
2410000 48114 2389 0.0496529076776
2415000 48236 2393 0.0496102496061
2420000 48330 2400 0.0496585971446
2425000 48443 2405 0.0496459756828
2430000 48554 2413 0.0496972443053
2435000 48642 2417 0.0496895686855
2440000 48749 2422 0.049683070422
2445000 48859 2430 0.0497349515954
2450000 48960 2435 0.0497344771242
2455000 49074 2440 0.0497208297673
2460000 49181 2447 0.0497549866818
2465000 49293 2451 0.0497230844136
2470000 49392 2457 0.0497448979592
2475000 49486 2462 0.0497514448531
2480000 49585 2467 0.0497529494807
2485000 49682 2473 0.0497765790427
2490000 49790 2478 0.0497690299257
2495000 49896 2480 0.0497033830367
2500000 49994 2484 0.0496859623155
2505000 50085 2487 0.0496555855046
2510000 50168 2494 0.0497129644395
2515000 50266 2499 0.0497155134683
2520000 50346 2503 0.0497159655186
2525000 50450 2506 0.0496729435084
2530000 50558 2515 0.0497448475019
2535000 50658 2522 0.0497848316159
2540000 50751 2530 0.0498512344584
2545000 50862 2533 0.0498014234596
2550000 50953 2537 0.0497909838479
2555000 51050 2542 0.0497943192948
2560000 51167 2549 0.0498172650341
2565000 51261 2553 0.0498039445192
2570000 51362 2559 0.0498228262139
2575000 51467 2561 0.0497600404142
2580000 51570 2566 0.0497576110142
2585000 51665 2571 0.0497628955773
2590000 51763 2573 0.0497073199003
2595000 51868 2581 0.0497609315956
2600000 51976 2587 0.049772972141
2605000 52068 2592 0.0497810555428
2610000 52185 2598 0.0497844208106
2615000 52289 2602 0.0497619002085
2620000 52388 2610 0.0498205695961
2625000 52486 2615 0.0498228098922
2630000 52577 2620 0.0498316754474
2635000 52681 2623 0.0497902469581
2640000 52777 2627 0.0497754703754
2645000 52868 2634 0.0498221986835
2650000 52970 2641 0.049858410421
2655000 53071 2647 0.04987658043
2660000 53186 2655 0.0499191516565
2665000 53278 2662 0.0499643380007
2670000 53381 2668 0.04998033008
2675000 53494 2675 0.0500056081056
2680000 53601 2677 0.0499430980765
2685000 53716 2685 0.0499851068583
2690000 53809 2688 0.0499544685833
2695000 53905 2691 0.0499211575921
2700000 54005 2697 0.049939820387
2705000 54113 2700 0.0498955888603
2710000 54207 2705 0.0499013042596
2715000 54302 2707 0.0498508342234
2720000 54396 2714 0.0498933745128
2725000 54491 2719 0.0498981483181
2730000 54591 2726 0.0499349709659
2735000 54700 2733 0.0499634369287
2740000 54819 2743 0.0500373957934
2745000 54913 2749 0.0500610055907
2750000 55026 2754 0.0500490677134
2755000 55118 2758 0.0500381000762
2760000 55235 2765 0.0500588395039
2765000 55338 2770 0.0500560193719
2770000 55448 2779 0.0501190304429
2775000 55539 2783 0.0501089324619
2780000 55660 2787 0.050071864894
2785000 55784 2792 0.0500501936039
2790000 55869 2799 0.0500993395264
2795000 55974 2800 0.0500232250688
2800000 56052 2800 0.0499536145008
2805000 56159 2802 0.04989405082
2810000 56255 2807 0.0498977868634
2815000 56355 2812 0.0498979682371
2820000 56452 2814 0.0498476581875
2825000 56527 2818 0.0498522829798
2830000 56633 2820 0.0497942895485
2835000 56742 2824 0.0497691304501
2840000 56839 2830 0.049789757033
2845000 56946 2834 0.0497664454044
2850000 57060 2841 0.0497896950578
2855000 57163 2845 0.0497699560905
2860000 57270 2851 0.0497817356382
2865000 57373 2856 0.0497795130113
2870000 57470 2862 0.0497998955977
2875000 57576 2867 0.0497950534945
2880000 57677 2871 0.0497772075524
2885000 57774 2876 0.0497801779347
2890000 57874 2882 0.0497978366797
2895000 57976 2888 0.0498137160204
2900000 58071 2892 0.0498011055432
2905000 58189 2897 0.0497860420354
2910000 58311 2905 0.0498190735882
2915000 58404 2912 0.0498595986576
2920000 58497 2918 0.0498828999778
2925000 58602 2921 0.0498447151974
2930000 58682 2923 0.0498108448928
2935000 58781 2930 0.049846038686
2940000 58873 2935 0.0498530735651
2945000 58957 2941 0.0498838136269
2950000 59049 2944 0.049856898508
2955000 59148 2947 0.0498241698789
2960000 59248 2951 0.0498075884418
2965000 59346 2955 0.0497927408755
2970000 59434 2962 0.0498367937544
2975000 59535 2968 0.0498530276308
2980000 59618 2970 0.0498171693113
2985000 59711 2971 0.049756326305
2990000 59803 2978 0.0497968329348
2995000 59902 2983 0.0497980034056
3000000 60002 2989 0.0498150061665
3005000 60113 2996 0.049839469
3010000 60202 3002 0.049865452975
3015000 60315 3007 0.0498549282931
3020000 60417 3014 0.0498866213152
3025000 60529 3018 0.0498603974954
3030000 60632 3024 0.0498746536482
3035000 60756 3030 0.049871617618
3040000 60859 3037 0.0499022330304
